code insee,ville,inscrits,abstentions,exprimes,LDVG,LFN,LUD
54309,Lemainville,254,80,164,22,70,72
54310,Leménil-Mitry,6,2,3,0,1,2
54311,Lenoncourt,477,148,318,60,118,140
54312,Lesménils,445,162,271,46,111,114
54313,Létricourt,162,52,103,15,51,37
54314,Lexy,2559,1144,1376,310,428,638
54315,Leyr,750,343,383,72,161,150
54316,Limey-Remenauville,177,52,120,14,47,59
54317,Lironville,77,10,64,12,28,24
54318,Liverdun,4616,1886,2630,624,962,1044
54320,Loisy,238,58,173,27,65,81
54321,Longlaville,1376,720,630,184,198,248
54322,Longuyon,4041,2085,1884,373,841,670
54323,Longwy,8359,4501,3739,1073,1082,1584
54324,Lorey,93,34,57,7,26,24
54325,Loromontzey,88,27,60,20,14,26
54326,Lubey,196,71,119,17,67,35
54327,Lucey,488,154,315,51,114,150
54328,Ludres,5347,1888,3343,608,843,1892
54329,Lunéville,13177,6571,6380,1190,2196,2994
54330,Lupcourt,337,107,223,25,73,125
54331,Magnières,236,76,150,25,56,69
54332,Maidières,1209,501,680,125,243,312
54333,Mailly-sur-Seille,188,74,109,21,54,34
54334,Mairy-Mainville,426,180,238,70,90,78
54335,Maixe,302,101,196,37,82,77
54336,Maizières,703,239,441,72,196,173
54337,Malavillers,101,47,52,9,24,19
54338,Malleloy,677,203,463,83,182,198
54339,Malzéville,5547,2155,3273,675,772,1826
54340,Mamey,231,80,142,27,69,46
54341,Mance,565,202,342,67,138,137
54342,Mancieulles,1223,544,650,213,251,186
54343,Mandres-aux-Quatre-Tours,150,44,95,12,40,43
54344,Mangonville,162,45,109,18,57,34
54345,Manoncourt-en-Vermois,243,70,166,27,71,68
54346,Manoncourt-en-Woëvre,192,38,139,8,65,66
54348,Manonville,173,41,131,21,42,68
54349,Manonviller,148,57,88,11,38,39
54350,Marainviller,509,154,337,44,174,119
54351,Marbache,1243,478,732,192,269,271
54352,Maron,676,222,438,113,129,196
54353,Mars-la-Tour,704,302,379,73,147,159
54354,Marthemont,36,5,31,5,11,15
54355,Martincourt,66,19,43,4,21,18
54356,Mattexey,58,16,40,4,13,23
54357,Maxéville,4186,1721,2392,547,769,1076
54358,Mazerulles,195,42,149,32,48,69
54359,Méhoncourt,189,53,127,17,68,42
54360,Ménil-la-Tour,293,92,189,26,67,96
54362,Mercy-le-Bas,935,457,455,127,220,108
54363,Mercy-le-Haut,207,92,107,16,46,45
54364,Méréville,1061,306,739,121,210,408
54365,Merviller,320,112,201,31,97,73
54366,Messein,1275,465,787,171,279,337
54367,Mexy,1673,815,829,254,223,352
54368,Mignéville,131,25,98,14,47,37
54369,Millery,453,156,282,46,117,119
54370,Minorville,191,66,118,27,66,25
54371,Moineville,795,306,469,154,164,151
54372,Moivrons,410,189,211,46,87,78
54373,Moncel-lès-Lunéville,408,137,263,54,111,98
54374,Moncel-sur-Seille,395,151,240,48,94,98
54375,Montauville,928,351,560,98,237,225
54376,Montenoy,332,82,236,47,102,87
54377,Montigny,127,43,83,17,31,35
54378,Montigny-sur-Chiers,383,141,233,38,90,105
54379,Mont-l'Etroit,69,20,46,12,22,12
